id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
944,LCCE26628,"CG 3.7 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE3",,Nos,CG,,MOTOR
945,LCCC13445,"BELT B-61",,Nos,OEM,,BELT
946,LCCC12772,236x3B,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
947,LAHC14377,"HEPA FILTER EU13 GRADE - 610 MM (W) x 610 MM (H) x 305MM (D)",,Nos,OEM,"HEPA FILTER",FILTER
948,LAHC14378,"HEPA FILTER EU13 GRADE - 610 MM (W) x 305 MM (H) x 305MM (D)",,Nos,OEM,"HEPA FILTER",FILTER
949,LCCH30204,"NUT M12 SS",,Nos,OEM,,FASTENERS
950,LAHC11128,"ADA 355 CM KRUGER MAKE",,Nos,KRUGER,,FAN
951,LAHC15201,"40mm NTBK Rounded - 3 Way Corner",40-45,Nos,OEM,,"PLASTIC PARTS"
952,LCCC12773,250x3B,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
953,LCCC13446,"BELT B-62",,Nos,OEM,,BELT
954,LCCR06501,"MS SHEET 3mm THK",,Kgs,OEM,,"MS SHEET"
955,LAHC11129,"ADA 400 CM KRUGER MAKE",,Nos,KRUGER,,FAN
956,LCCH32503,"1 1/2 inch PVC DUMMY WITH INTERNAL THREAD",,Nos,OEM,,"PVC Items"
957,LCCC13447,"BELT B-63",,Nos,OEM,,BELT
958,LCCC13448,"BELT B-64",,Nos,OEM,,BELT
959,LCCE26536,"CG 30 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,CG,,MOTOR
960,LCCC13449,"BELT B-65",,Nos,OEM,,BELT
961,LCCC13450,"BELT B-66",,Nos,OEM,,BELT
962,LCCE26344,"ABB 0.75 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,ABB,,MOTOR
963,LAHC11130,"ADA 450 CM KRUGER MAKE",,Nos,KRUGER,,FAN
964,LCCC12774,280x3B,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
965,LCCC13451,"BELT B-67",,Nos,OEM,,BELT
966,LCCE26533,"CG 15 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1",,Nos,CG,,MOTOR
967,LAHC14379,"HEPA FILTER EU13 GRADE - 305 MM (W) x 610 MM (H) x 305MM (D)",,Nos,OEM,"HEPA FILTER",FILTER
968,LCCC13452,"BELT B-68",,Nos,OEM,,BELT
969,LCCE25661,"ELECTRICAL WIRE 3 CORE / 2 SQ MM",,Nos,OEM,,ELECTRICAL
