id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
419,LAHC11051,KAT 9/7 S2-CCW 270 KRUGER MAKE,,Nos,KRUGER,,FAN
420,LAHC14340,BAG FILTER EU7 GRADE - 490 MM (W) x 592 MM (H) x 635MM (D),,Nos,OEM,BAG FILTER,FILTER
421,LCCC13369,BELT A-87,,Nos,OEM,,BELT
422,LCCE26745,SIEMENS 1.1 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE2,,Nos,SIEMENS,,MOTOR
423,LAHC11052,KAT 9/9 S2-CCW 270 KRUGER MAKE,,Nos,KRUGER,,FAN
424,LAHC24123,HRW 500 - MS200,,Nos,DRI,,HEAT RECOVERY WHEEL
425,LAHC11053,KAT 10/8 S2-CCW 270 KRUGER MAKE,,Nos,KRUGER,,FAN
426,LCCC12738,400x 3A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
427,LAHM48605,AHU CAUTION STICKER,,Nos,OEM,,NAME PLATE/STICKER/LABELS
428,LCCC13370,BELT A-88,,Nos,OEM,,BELT
429,LCCC12739,500x 3A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
430,LAHC11054,KAT 10/10 S2-CCW 270 KRUGER MAKE,,Nos,KRUGER,,FAN
431,LAHC14341,BAG FILTER EU7 GRADE - 592 MM (W) x 490 MM (H) x 635MM (D),,Nos,OEM,BAG FILTER,FILTER
432,LAHC11055,KAT 12/9 S2-CCW 270 KRUGER MAKE,,Nos,KRUGER,,FAN
433,LAHN60001,POLYOL,,Kgs,OEM,,POLYOL
434,LAHM48610,AHU FAN SECTION STICKER,,Nos,OEM,,NAME PLATE/STICKER/LABELS
435,LAHC15507,Spring Isolator - White,,Nos,OEM,,ANTI-VIBRATIONS
436,LCCH30028,ALLEN HEAD BOLT GI M10 x 16,,Nos,OEM,,FASTENERS
437,LCCE26983,BHARATH BIJILEE 0.55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE3,,Nos,BHARATH BIJILEE,,MOTOR
438,LCCE26780,SIEMENS 75 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,SIEMENS,,MOTOR
439,LCCC13371,BELT A-89,,Nos,OEM,,BELT
440,LCCE26444,ABB 0.75 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE3,,Nos,ABB,,MOTOR
441,LCCE26337,ABB 37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1,,Nos,ABB,,MOTOR
442,LCCE26608,CG 3.7 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE3,,Nos,CG,,MOTOR
443,LAHC24661,RUBBER BOOT 3 inch 25mm DEPTH,,Nos,OEM,,Rubber
444,LAHC24124,HRW 600 - MS200,,Nos,DRI,,HEAT RECOVERY WHEEL
