id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
2338,LAHR06256,1/4 inch OD with 0.7mm Wall thickness Plain Seamless tube LWC Copper,C12200 / O50 Light Annealed Complyng to ASTM Standard B68M,Kgs,OEM,,RAW MATERIAL
2339,LAHC14518,COMMISSIONING FILTER 595 MM (W) x 595 MM (H) x 48MM (D),,Nos,OEM,COMMISSIONING FILTER,FILTER
2340,LAHC14519,COMMISSIONING FILTER 595 MM (W) x 494 MM (H) x 48MM (D),,Nos,OEM,COMMISSIONING FILTER,FILTER
2341,LAHC14520,COMMISSIONING FILTER 595 MM (W) x 290 MM (H) x 48MM (D),,Nos,OEM,COMMISSIONING FILTER,FILTER
2342,LAHC14521,COMMISSIONING FILTER 494 MM (W) x 595 MM (H) x 48MM (D),,Nos,OEM,COMMISSIONING FILTER,FILTER
2343,LAHC14522,COMMISSIONING FILTER 290 MM (W) x 595 MM (H) x 48MM (D),,Nos,OEM,COMMISSIONING FILTER,FILTER
2344,LAHC14523,COMMISSIONING FILTER 494 MM (W) x 494 MM (H) x 48MM (D),,Nos,OEM,COMMISSIONING FILTER,FILTER
2345,LAHC14524,COMMISSIONING FILTER 290 MM (W) x 494 MM (H) x 48MM (D),,Nos,OEM,COMMISSIONING FILTER,FILTER
2346,LAHC14525,COMMISSIONING FILTER 290 MM (W) x 290 MM (H) x 48MM (D),,Nos,OEM,COMMISSIONING FILTER,FILTER
2347,LAHC11299,ER31C-2DN D71R,,Nos,Ziehl Abegg,,FAN
2348,LAHR05275,1 3/8 Inlet x 44 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2349,LAHR05276,1 3/8 Inlet x 46 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2350,LAHR05277,1 3/8 Inlet x 48 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2351,LAHE15109,Magnahelic Differential Pressure Gauge,,Nos,OEM,,Switch
2352,LAHE15110,Inclined Tube Manometer,,Nos,OEM,,Switch
2353,LAHC24765,25mm THK OPEN CELL NITRILE FOAM INSULATION WITH ONE SIDE SELF ADHESIVE,,Nos,OEM,,GASKET & INSULATION
2354,LAHR05278,3 1/8 Inches Copper End Cap,,Nos,OEM,,BRASS ITEMS
2355,LAHC11300,ER63C-4DN G71R,,Nos,Ziehl Abegg,,FAN
2356,LAHC11301,GR35C.ZID.DC.CR,,Nos,Ziehl Abegg,,FAN
2357,LAHC11302,GR50C.ZID.GG.CR,,Nos,Ziehl Abegg,,FAN
2358,LAHC14526,ACTIVATED CARBON FILTER - 290 MM (W) x 595 MM (H) x 48MM (D),,Nos,OEM,CARBON FILTER,FILTER
2359,LAHC14527,ACTIVATED CARBON FILTER - 595 MM (W) x 290 MM (H) x 48MM (D),,Nos,OEM,CARBON FILTER,FILTER
2360,LCCE27021,CG 5.5 KW 3 PH TEFC-SQCAGE INDUCTION FLAME PROOF MOTOR 4 POLE FOOT MOUNTED-IE3,,Nos,CG,,MOTOR
2361,LCCE27022,CG 5.5 KW 3 PH TEFC-SQCAGE INDUCTION FLAME PROOF MOTOR 2 POLE FOOT MOUNTED-IE3,,Nos,CG,,MOTOR
2362,LCCE27023,CG 3.7 KW 3 PH TEFC-SQCAGE INDUCTION FLAME PROOF MOTOR 4 POLE FOOT MOUNTED-IE3,,Nos,CG,,MOTOR
2363,LAHR05279,1 1/8 Inlet x 22 Way Brass Refrigerant Distributor,,Nos,OEM,,BRASS ITEMS
2364,LAHC14528,PRE FILTER (FLANGE TYPE) EU3 GRADE - 610 MM (W) x 610 MM (H) x 150MM (D),,Nos,OEM,PRE FILTER,FILTER
2365,LAHC14529,PRE FILTER (FLANGE TYPE) EU3 GRADE - 610 MM (W) x 305 MM (H) x 150MM (D),,Nos,OEM,PRE FILTER,FILTER
2366,LAHC14530,PRE FILTER (FLANGE TYPE) EU3 GRADE - 305 MM (W) x 305 MM (H) x 150MM (D),,Nos,OEM,PRE FILTER,FILTER
2367,LAHC14531,CARBON FILTER (FLANGE TYPE)  -  610 MM (W) x 610 MM (H) x 100 MM (D),,Nos,OEM,CARBON FILTER,FILTER
2368,LCCM47010,General Spares,,Nos,OEM,,Hardware
2369,LCCM47011,Miscellaneous Consumable Item,,Nos,OEM,,Hardware
2370,LAHC23908,HYDROPHILIC COATED ALUMINIUM FIN STOCK - 0.12mm Thick - 230mm Width,,Kgs,OEM,,ALUMINIUM PARTS
2371,LAHC11303,GR31C-ZID.DC.CR,,Nos,Ziehl Abegg,,FAN
2372,LAHC15250,DOOR HINGE - N 90 x 70 PS,,Nos,OEM,,PLASTIC PARTS
2373,LAHC11304,140 x 160 FCU Fan with Housing,,Nos,OEM,,FAN
2374,LAHC11305,160 x 200 FCU Fan with Housing,,Nos,OEM,,FAN
2375,LAHC11306,180 x 190 FCU Fan with Housing,,Nos,OEM,,FAN
2376,LCCE27024,1/10 HP SINGLE PHASE 6 POLE MOTOR - WITH CAPACITIOR,,Nos,CG,,MOTOR
2377,LAHR05280,3 WAY TENTACLES FOR FCU LEFT SIDE,,Nos,OEM,,BRASS ITEMS
2378,LAHR05281,3 WAY TENTACLES FOR FCU RIGHT SIDE,,Nos,OEM,,BRASS ITEMS
2379,LAHR05282,BRASS AIRVENT,,Nos,OEM,,BRASS ITEMS
2380,LAHR05283,BRASS DRAIN PLUG,,Nos,OEM,,BRASS ITEMS
2381,LAHC24766,ROCKWOOL INSULATION 50MM THICK 96KG/M3,,Square Meters,OEM,,GASKET & INSULATION
2382,LAHC11307,550mm DIA AXIAL FAN - 4 POLE - 3 PH,,Nos,OEM,,FAN
2383,LAHC11308,630mm DIA AXIAL FAN - 4 POLE - 3 PH,,Nos,OEM,,FAN
2384,LAHC11309,GR56CZID.GQ.CR,,Nos,OEM,,FAN
2385,LCCR07531,GI sheet 3mm THK 120 GSM,3,Kgs,OEM,AHU CASING,G.I / COATED SHEETS
2386,LAHC14532,ACTIVATED CARBON FILTER - 595 MM (W) x 494 MM (H) x 48MM (D),,Nos,OEM,CARBON FILTER,FILTER
2387,LAHC14533,ACTIVATED CARBON FILTER - 494 MM (W) x 595 MM (H) x 48MM (D),,Nos,OEM,CARBON FILTER,FILTER
2388,LCCC12868,80 x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2389,LCCC12869,85x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2390,LCCC12870,90x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2391,LCCC12871,106x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2392,LCCC12872,112x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
2393,LCCC12873,118x 1A,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
