fanBom/id,fanBom/fanDia,fanBom/fanOmega/spec,fanBom/fanOmega/code,fanBom/fanOmega/qty,fanBom/antiVibrant/spec,fanBom/antiVibrant/code,fanBom/antiVibrant/qty,fanBom/fmNutInsert/spec,fanBom/fmNutInsert/code,fanBom/fmNutInsert/qty,fanBom/fmBolt/spec,fanBom/fmBolt/code,fanBom/fmBolt/qty,fanBom/fmNut/spec,fanBom/fmNut/code,fanBom/fmNut/qty,fanBom/fmWasher/spec,fanBom/fmWasher/code,fanBom/fmWasher/qty,fanBom/fanCritical/spec,fanBom/fanCritical/code,fanBom/fanCritical/qty,fanBom/fcBolt/spec,fanBom/fcBolt/code,fanBom/fcBolt/qty,fanBom/fcNut/spec,fanBom/fcNut/code,fanBom/fcNut/qty,fanBom/fcWasher/spec,fanBom/fcWasher/code,fanBom/fcWasher/qty,fanBom/fcSpringWasher/spec,fanBom/fcSpringWasher/code,fanBom/fcSpringWasher/qty,fanBom/sqWasher/spec,fanBom/sqWasher/code,fanBom/sqWasher/qty,fanBom/motorCritical/spec,fanBom/motorCritical/code,fanBom/motorCritical/qty,fanBom/mcBolt/spec,fanBom/mcBolt/code,fanBom/mcBolt/qty,fanBom/mcNut/spec,fanBom/mcNut/code,fanBom/mcNut/qty,fanBom/mcWasher/spec,fanBom/mcWasher/code,fanBom/mcWasher/qty,fanBom/mcSpringWasher/spec,fanBom/mcSpringWasher/code,fanBom/mcSpringWasher/qty,fanBom/flexTProfile/spec,fanBom/flexTProfile/code,fanBom/flexTProfile/qty,fanBom/flexLProfile/spec,fanBom/flexLProfile/code,fanBom/flexLProfile/qty,fanBom/flexCanvas/spec,fanBom/flexCanvas/code,fanBom/flexCanvas/qty,fanBom/flexPopRivet/spec,fanBom/flexPopRivet/code,fanBom/flexPopRivet/qty
11,10-10 S2,1,LAHC15503,1,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.88,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,1.982,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.902,,LAHC23719,1.902,,LAHC15557,1.952,,LCCH30653,24
12,12-12 S2,1.066,LAHC15503,1.066,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,2.012,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,2.358,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,2.262,,LAHC23719,2.262,,LAHC15557,2.312,,LCCH30653,24
13,15-15 S2,1.254,LAHC15503,1.254,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,2.388,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,2.782,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,2.692,,LAHC23719,2.692,,LAHC15557,2.742,,LCCH30653,24
14,18-18 S2,1.369,LAHC15503,1.369,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,2.618,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,3.274,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,3.184,,LAHC23719,3.184,,LAHC15557,3.234,,LCCH30653,24
15,180,0.228,LAHC15503,0.228,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.676,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,0.576,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,0.912,,LAHC23719,0.912,,LAHC15557,0.962,,LCCH30653,24
16,200,0.256,LAHC15503,0.256,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.716,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,0.642,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.024,,LAHC23719,1.024,,LAHC15557,1.074,,LCCH30653,24
17,225,0.288,LAHC15503,0.288,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.794,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,0.706,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.152,,LAHC23719,1.152,,LAHC15557,1.202,,LCCH30653,24
18,250,0.322,LAHC15503,0.322,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.866,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,0.774,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.288,,LAHC23719,1.288,,LAHC15557,1.338,,LCCH30653,24
19,280,0.36,LAHC15503,0.36,AV25 ,LAHC15503,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,1.962,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,0.86,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.44,,LAHC23719,1.44,,LAHC15557,1.49,,LCCH30653,24
20,315,0.404,LAHC15501,0.404,AV40,LAHC15501,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,2.066,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,0.948,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.616,,LAHC23719,1.616,,LAHC15557,1.666,,LCCH30653,24
21,355,0.452,LAHC15501,0.452,AV40,LAHC15501,4,M8,LCCH30210,8,M8 x 25,LCCH30002,8,M8,LCCH30206,8,M8,LCCH30402,8,40 x 40,LAHC23712,2.406,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,1.064,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,1.808,,LAHC23719,1.808,,LAHC15557,1.858,,LCCH30653,24
22,400,0.506,LAHC15501,0.506,AV40,LAHC15501,6,M8,LCCH30210,12,M8 x 25,LCCH30002,12,M8,LCCH30206,12,M8,LCCH30402,12,40 x 40,LAHC23712,2.55,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,1.172,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,2.024,,LAHC23719,2.024,,LAHC15557,2.074,,LCCH30653,24
23,450,0.568,LAHC15501,0.568,AV40,LAHC15501,6,M8,LCCH30210,12,M8 x 25,LCCH30002,12,M8,LCCH30206,12,M8,LCCH30402,12,40 x 40,LAHC23712,2.702,M8 x 25,LCCH30002,4,M8,LCCH30206,0,M8,LCCH30402,8,M8,LCCH30410,4,M8 x 35,LCCH30418,4,40 x 40,LAHC23712,1.296,M8 x 25,LCCH30002,4,M8,LCCH30206,4,M8,LCCH30402,8,M8,LCCH30410,4,,LAHC23718,2.272,,LAHC23719,2.272,,LAHC15557,2.322,,LCCH30653,36
24,500,0.638,LAHC15501,0.638,AV40,LAHC15501,6,M8,LCCH30210,12,M8 x 25,LCCH30002,12,M8,LCCH30206,12,M8,LCCH30402,12,60 x 60,LAHC23711,2.85,M10 x 25,LCCH30002,4,M10,LCCH30206,4,M10,LCCH30402,8,M10,LCCH30410,4,M10 x 35,LCCH30419,4,60 x 60,LAHC23711,1.476,M10 x 40,LCCH30007,4,M10,LCCH30207,4,M10,LCCH30403,8,M10,LCCH30411,4,,LAHC23718,2.552,,LAHC23719,2.552,,LAHC15557,2.602,,LCCH30653,36
25,560,0.714,LAHC15501,0.714,AV40,LAHC15501,6,M8,LCCH30210,12,M8 x 25,LCCH30002,12,M8,LCCH30206,12,M8,LCCH30402,12,60 x 60,LAHC23711,3.174,M10 x 25,LCCH30002,4,M10,LCCH30206,4,M10,LCCH30402,8,M10,LCCH30410,4,M10 x 35,LCCH30419,4,60 x 60,LAHC23711,1.648,M10 x 40,LCCH30007,4,M10,LCCH30207,4,M10,LCCH30403,8,M10,LCCH30411,4,,LAHC23718,2.856,,LAHC23719,2.856,,LAHC15557,2.906,,LCCH30653,36
26,630,0.8,LAHC15501,0.8,AV40,LAHC15501,6,M8,LCCH30210,12,M8 x 25,LCCH30002,12,M8,LCCH30206,12,M8,LCCH30402,12,GI base,,0,M10 x 25,LCCH30002,4,M10,LCCH30206,4,M10,LCCH30402,8,M10,LCCH30410,4,,,,GI base,,0,M10 x 40,LCCH30007,4,M10,LCCH30207,4,M10,LCCH30403,8,M10,LCCH30411,4,,LAHC23718,3.2,,LAHC23719,3.2,,LAHC15557,3.25,,LCCH30653,36
27,710,0.898,LAHC15501,0.898,AV40,LAHC15501,6,M8,LCCH30210,12,M8 x 25,LCCH30002,12,M8,LCCH30206,12,M8,LCCH30402,12,GI base,,0,M10 x 25,LCCH30002,4,M10,LCCH30206,4,M10,LCCH30402,8,M10,LCCH30410,4,,,,GI base,,0,M10 x 40,LCCH30007,4,M10,LCCH30207,4,M10,LCCH30403,8,M10,LCCH30411,4,,LAHC23718,3.592,,LAHC23719,3.592,,LAHC15557,3.642,,LCCH30653,36
28,800,1.006,LAHC15501,1.006,AV40,LAHC15501,6,M8,LCCH30210,12,M8 x 25,LCCH30002,12,M8,LCCH30206,12,M8,LCCH30402,12,GI base,,0,M10 x 25,LCCH30002,4,M10,LCCH30206,4,M10,LCCH30402,8,M10,LCCH30410,4,,,,GI base,,0,M10 x 40,LCCH30007,4,M10,LCCH30207,4,M10,LCCH30403,8,M10,LCCH30411,4,,LAHC23718,4.024,,LAHC23719,4.024,,LAHC15557,4.074,,LCCH30653,36
29,900,1.13,LAHC15501,1.13,AV40,LAHC15501,6,M8,LCCH30210,12,M8 x 25,LCCH30002,12,M8,LCCH30206,12,M8,LCCH30402,12,GI base,,0,M10 x 25,LCCH30002,4,M10,LCCH30206,4,M10,LCCH30402,8,M10,LCCH30410,4,,,,GI base,,0,M10 x 40,LCCH30007,4,M10,LCCH30207,4,M10,LCCH30403,8,M10,LCCH30411,4,,LAHC23718,4.52,,LAHC23719,4.52,,LAHC15557,4.57,,LCCH30653,36
30,1000,1.266,LAHC15501,1.266,AV40,LAHC15501,6,M8,LCCH30210,12,M8 x 25,LCCH30002,12,M8,LCCH30206,12,M8,LCCH30402,12,GI base,,0,M10 x 25,LCCH30002,4,M10,LCCH30206,4,M10,LCCH30402,8,M10,LCCH30410,4,,,,GI base,,0,M10 x 40,LCCH30007,4,M10,LCCH30207,4,M10,LCCH30403,8,M10,LCCH30411,4,,LAHC23718,5.064,,LAHC23719,5.064,,LAHC15557,5.114,,LCCH30653,36
