HARDPIPES/CODE,HARDPIPES/Description,Elbows/CODE,Elbows/Description, T_JOINT/CODE,T_JOINT/Description,ENDCAPS/CODE,ENDCAPS/Description
LAHR17237,5/8 Inches Copper Hard Pipe,null,null,null,null,null,null
LAHR17238,7/8 Inches Copper Hard Pipe,LAHR17201,7/8 Inches Copper Elbow,LAHR17207,7/8 Copper T Joint,LCCC16919,COPPER END CAP -  7/8
LAHR17239,1 1/8 Inches Copper Hard Pipe,LAHR17203,1 1/8 Inches Copper Elbow,LAHR17208,1 1/8 Copper T Joint,LCCC16921,COPPER END CAP  1-1/8
LAHR17240,COPPER HARD PIPE - 1 3/8,LAHR17204,1 3/8 Inches Copper Elbow,LAHR17209,1 3/8 Copper T Joint,LAHR17227,1 3/8 Inches Copper End Cap
LAHR17241,1 5/8 Inches Copper Hard Pipe,null,null,LAHR17210,1 5/8 Copper T Joint,LAHR17228,1 5/8 Inches Copper End Cap
